sephora_id,order_number,atg_order_number,purchase_date,product_sk,sku_number,store_number,discount_amount,transaction_type,currency_code,void_flag,dotcom_guest_flag,brand_name,sample_sku_code,csr_id,standard_sample_flag,total_sales_local_amount,gross_units,product_category,merch_code,country_origin,mplus_flag,transaction_number,transaction_sequence_number,shipped_date,department_number,department_name,hazmat_flag,gift_flag,dt,release_date,received_date,purchase_year,purchase_month,channel_type
1052623258,086870097000000000183200001,null,2020-10-10,40931125,1850346,182,0,R,US,N,null,SK II,,null,null,-185,-1,Mists & Essences,,null,,1832,1,2020-10-10,15,Skincare,null,null,2020-11-05-164111,null,null,2020,10,US STORE
null,086810285200000000397100002,,2020-10-04,40931462,1853720,1314,0,S,US,N,null,"DIOR, CHRISTIAN",,null,null,38,1,Lipstick,,,,3971,4,2020-10-04,10,Makeup,null,null,2020-10-15-135812,null,null,2020,10,US STORE
1052623258,086870267200000002103200004,null,2020-10-10,40931125,1850346,1150,0,R,US,N,null,SK II,,null,null,-185,-1,Mists & Essences,,null,,21032,1,2020-10-10,15,Skincare,null,null,2020-11-06-154620,null,null,2020,10,US STORE
null,086810285200000000397100002,,2020-10-04,204027,1402486,1314,0,S,US,N,null,URBAN DECAY,,null,null,20,1,Eyeshadow,,,,3971,10,2020-10-04,10,Makeup,null,null,2020-10-15-135812,null,null,2020,10,US STORE
1075524851,086970083000000007378100003,null,2020-10-20,40972228,2259992,434,0,S,US,N,null,THE INKEY LIST,,null,null,6.99,1,Face Serums,,null,,73781,1,2020-10-20,15,Skincare,null,null,2020-10-23-155056,null,null,2020,10,US STORE
null,086810285200000000397100002,,2020-10-04,40977440,2312346,1314,0,S,US,N,null,PATRICK TA,,null,null,22,1,Body Lotions & Body Oils,,,,3971,1,2020-10-04,10,Makeup,null,null,2020-10-15-135812,null,null,2020,10,US STORE
1075524851,086970083000000007378100003,null,2020-10-20,40970537,2242790,434,0,S,US,N,null,MILK MAKE UP,,null,null,28,1,Highlighter,,null,,73781,2,2020-10-20,10,Makeup,null,null,2020-10-22-161157,null,null,2020,10,US STORE
null,086810285200000000397100002,,2020-10-04,213399,1498856,1314,0,S,US,N,null,URBAN DECAY,,null,null,22,1,Eyeshadow,,,,3971,9,2020-10-04,10,Makeup,null,null,2020-10-15-135812,null,null,2020,10,US STORE
1034045098,086860070400000000457100004,,2020-10-09,40970544,2243020,108,0,S,US,N,null,SEPHORA COLOR,,null,null,12,1,Eyebrow,,,,4571,2,2020-10-09,40,Sephora Collection,null,null,2020-10-15-135812,null,null,2020,10,US STORE
null,086810288200000000487900002,,2020-10-04,40969867,2235729,1270,0,S,US,N,null,URBAN DECAY,,null,null,22,1,Eyeliner,,,,4879,1,2020-10-04,10,Makeup,null,null,2020-10-15-135812,null,null,2020,10,US STORE
1034045098,086860070400000000457100004,,2020-10-09,40956877,2107415,108,0,S,US,N,null,SEPHORA ACCESSORIES,,null,null,9,1,False Eyelashes,,,,4571,3,2020-10-09,40,Sephora Collection,null,null,2020-10-15-135812,null,null,2020,10,US STORE
null,086820036200000002573300004,,2020-10-05,40940487,1942002,24,0,S,US,N,null,ANASTASIA,,null,null,12,1,Eyeshadow,,,,25733,1,2020-10-05,10,Makeup,null,null,2020-10-15-135812,null,null,2020,10,US STORE
1034045098,086860070400000000457100004,,2020-10-09,40936212,1900703,108,0,S,US,N,null,URBAN DECAY,,null,null,15,1,Makeup,,,,4571,1,2020-10-09,10,Makeup,null,null,2020-10-15-135812,null,null,2020,10,US STORE
null,086820040400000008498900006,,2020-10-05,40919963,1739325,66,0,S,US,N,null,"DIOR, CHRISTIAN",,null,null,95,1,Cologne,,,,84989,1,2020-10-05,30,Fragrance,null,null,2020-10-15-135812,null,null,2020,10,US STORE
1034045098,086860070400000000457100004,,2020-10-09,40977351,2311686,108,0,S,US,N,null,MILK MAKE UP,BI,null,null,0,1,,,,,4571,4,2020-10-09,97,Unclassified,null,null,2020-10-15-135812,null,null,2020,10,US STORE
null,086820042600000009119000006,,2020-10-05,40963294,2172153,202,0,S,US,N,null,SMASHBOX,,null,null,20,1,Lip Gloss,,,,91190,2,2020-10-05,10,Makeup,null,null,2020-10-15-135812,null,null,2020,10,US STORE
1002029214,087050091500000007126300004,null,2020-10-28,40933497,1873835,238,0,S,US,N,null,MOROCCANOIL,,null,null,26,1,Dry Shampoo,,null,,71263,1,2020-10-28,16,Hair,null,null,2020-10-30-160013,null,null,2020,10,US STORE
null,086820042600000009119000006,,2020-10-05,40963322,2172161,202,0,S,US,N,null,SMASHBOX,,null,null,20,1,Lip Gloss,,,,91190,1,2020-10-05,10,Makeup,null,null,2020-10-15-135812,null,null,2020,10,US STORE
1047481812,086900036400000004225900006,null,2020-10-13,40971521,2252971,26,0,S,US,N,null,BITE BEAUTY,,null,null,36,1,Setting Spray & Powder,,null,,42259,1,2020-10-13,10,Makeup,null,null,2020-10-15-160644,null,null,2020,10,US STORE
null,086820053600000000202900004,,2020-10-05,151296,804070,408,0,S,US,N,null,NARS,,null,null,6,1,Sharpeners,,,,2029,3,2020-10-05,10,Makeup,null,null,2020-10-15-135812,null,null,2020,10,US STORE
1047481812,086900036400000004225900006,null,2020-10-13,40966057,2198976,26,0,S,US,N,null,KOSAS,,null,null,28,1,Lipstick,,null,,42259,2,2020-10-13,10,Makeup,null,null,2020-10-15-160644,null,null,2020,10,US STORE
null,086820053600000000202900004,,2020-10-05,150280,792481,408,0,S,US,N,null,NARS,,null,null,27,1,Lipstick,,,,2029,1,2020-10-05,10,Makeup,null,null,2020-10-15-135812,null,null,2020,10,US STORE
1049811622,086950284700000001680700001,null,2020-10-18,40977369,2311694,1278,0,S,US,N,null,BRIOGEO HAIR CARE,BI,null,null,0,1,,,null,,16807,3,2020-10-18,97,Unclassified,null,null,2020-10-21-005014,null,null,2020,10,US STORE
null,086820053600000000202900004,,2020-10-05,40949279,2031151,408,0,S,US,N,null,NARS,,null,null,49,1,Foundation,,,,2029,2,2020-10-05,10,Makeup,null,null,2020-10-15-135812,null,null,2020,10,US STORE
